img_id,result,time
0,Verified,1.014922857284546
1,Verified,7.024162530899048
2,Verified,0.8882815837860107
3,Verified,90.91029405593872
4,Verified,1.0831031799316406
5,Unknown,9.618448972702026
6,Verified,88.97334575653076
7,Unknown,7.797471046447754
11,Verified,36.67118215560913
12,Verified,7.752986192703247
15,Verified,56.96687173843384
20,Verified,54.50920295715332
21,Verified,75.43256783485413
34,Verified,34.517032861709595
35,Verified,22.495845317840576
40,Verified,23.3188738822937
41,Verified,38.34838366508484
47,Verified,38.78737831115723
48,Verified,6.841063976287842
75,Verified,41.147003173828125
79,Verified,44.12494349479675
83,Verified,103.15565085411072
92,Verified,28.639825344085693
101,Verified,25.689879655838013
138,Unknown,9.513211488723755
139,Verified,152.48044347763062
160,Verified,6.649486064910889
184,Unknown,9.33803415298462
Num. of unknown:,4
Num. of verified:,24
Num. of falsified:,0
Total time:,1023.6898965835571
Avg. time:,36.56035344941275
Avg. time of verified/falsified (excludes unknown):,41.14261378844579
Avg. time of unknown:,9.066791415214539
Avg. time of verified:,41.14261378844579
Avg. time of falsified:,0
